agency,location_id,location_name,county,hydro_area,lat,long,state
cdec,cpp,cordelia pumping plant (kg002111),solano,san francisco bay,38.2276,-122.1347,ca
cdec,ist,sacramento river at i street bridge,sacramento,sacramento river,38.58867,-121.50497,ca
cdec,sol,lake solano,solano,sacramento river,38.5,-122,ca
cdec,riv,rio vista,solano,sacramento river,38.15974,-121.68636,ca
cdec,wdl,woodland 1 wnw,yolo,sacramento river,38.683,-121.8,ca
cdec,dvs,davis 2wsw,sacramento,sacramento river,38.533,-121.767,ca
cdec,tea,teal club at frank horan slough,solano,sacramento river,38.1766,-122.0872,ca
cdec,gln,green's landing,sacramento,sacramento river,38.345,-121.546,ca
cdec,sdc,sacramento r above delta cross channel,sacramento,sacramento river,38.257,-121.518,ca
cdec,ccy,cache creek at yolo,yolo,sacramento river,38.72663,-121.80715,ca
cdec,rvb,sacramento river at rio vista bridge,solano,sacramento river,38.15974,-121.68636,ca
cdec,cse,collinsville on sacramento river,solano,sacramento river,38.074,-121.8501,ca
cdec,spe,sac regional wastewater treatment plant,sacramento,sacramento river,38.441,-121.502,ca
cdec,bry,sacramento river at bryte,yolo,sacramento river,38.602,-121.533,ca
cdec,omt,o&m real time monitoring test station,sacramento,sacramento river,38.5755,-121.4977,ca
cdec,fre,sacramento r @ fremont weir(crest 32.0'),yolo,sacramento river,38.75926,-121.66727,ca
cdec,hon,honker bay,solano,san francisco bay,38.0724,-121.9392,ca
cdec,flt,good year slough outfall @ naval fleet,solano,sacramento river,38.08038,-122.10205,ca
cdec,ibs,ibis,solano,sacramento river,38.157,-122.113,ca
cdec,scr,sacramento wb city,sacramento,sacramento river,38.583,-121.5,ca
cdec,bli,blacklock island,solano,sacramento river,38.1807,-121.9069,ca
cdec,ryc,suisun bay ? cutoff near ryer,solano,san francisco bay,38.08397,-121.99588,ca
cdec,taf,travis afb,solano,san francisco bay,38.2667,-121.9333,ca
cdec,dto,delta outflow,solano,sacramento river,38.059,-122.025,ca
cdec,rvs,rio vista,solano,sacramento river,38.15974,-121.68636,ca
cdec,gys,goodyear slough,solano,sacramento river,38.118,-122.095,ca
cdec,swe,sacramento r at walnut grove ec,sacramento,sacramento river,38.24185,-121.51477,ca
cdec,nsl,national steel,solano,sacramento river,38.1221,-121.8881,ca
cdec,emm,emmaton (usbr),sacramento,sacramento river,38.08396,-121.73892,ca
cdec,fpt,sacramento river at freeport,sacramento,sacramento river,38.45,-121.5,ca
cdec,cll,collinsville,solano,sacramento river,38.083,-121.833,ca
cdec,hwb,miner slough at hwy 84 bridge,solano,sacramento river,38.2917,-121.6308,ca
cdec,sae,sacramento executive airport,sacramento,sacramento river,38.50694,-121.495,ca
cdec,sss,steamboat slough btw sac r and sutter sl,sacramento,sacramento river,38.285,-121.587,ca
cdec,vol,volanti,solano,sacramento river,38.181,-122.046,ca
cdec,srv,sacramento river at rio vista (usgs),solano,sacramento river,38.16,-121.686,ca
